OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultMeasureValue,ResultMeasure/MeasureUnitCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,USGSPCode,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,ProviderName
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99400023,Sample-Routine,Water,Surface Water,10/21/93,9:30:00,EDT,,,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-02082731,,,"Stable, low stage",Routine sample,70,USGS parameter code 82398,Grab sample  (dip),US DH-81 with Teflon cap and nozzle,,Fecal Coliform,79,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99201786,Sample-Routine,Water,Surface Water,5/26/92,10:00:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02116500,,,"Stable, normal stage",Routine sample,30,USGS parameter code 82398,Single vertical,"Sampler, US DH-76",,Fecal Coliform,79,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97700739,Sample-Routine,Water,Surface Water,9/12/77,10:45:00,EDT,,,,Other:Not valid for new data entry,USGS-02129000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,79,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-VA,USGS Virginia Water Science Center,nwisva.01.98900761,Sample-Routine,Water,Surface Water,8/15/89,11:45:00,EDT,3,feet,,U.S. Geological Survey-Water Resources Discipline,USGS-0207988510,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,8,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-VA,USGS Virginia Water Science Center,nwisva.01.98900323,Sample-Routine,Water,Surface Water,4/18/89,12:15:00,EDT,3,feet,,U.S. Geological Survey-Water Resources Discipline,USGS-0207988490,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,8,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99301124,Sample-Routine,Water,Surface Water,4/8/93,15:15:00,EDT,0.5,meters,,U.S. Geological Survey-Water Resources Discipline,USGS-0214148975,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,8,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98200167,Sample-Routine,Water,Surface Water,6/1/82,13:00:00,EDT,,,,"USGS-Atlanta Central Laboratory, GA",USGS-02091970,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,80,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98400243,Sample-Routine,Water,Surface Water,6/5/84,9:00:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0208700780,,,Falling stage,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,8,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97801049,Sample-Routine,Water,Surface Water,10/25/77,10:00:00,EDT,,,,,USGS-02129000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,8,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98200164,Sample-Routine,Water,Surface Water,1/18/82,12:30:00,EST,,,,"USGS-Atlanta Central Laboratory, GA",USGS-02091970,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,8,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98100388,Sample-Routine,Water,Surface Water,2/10/81,22:00:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-03450000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,8,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98200040,Sample-Routine,Water,Surface Water,5/3/82,10:30:00,EDT,,,,"USGS-Atlanta Central Laboratory, GA",USGS-02080500,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,8,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98600002,Sample-Routine,Water,Surface Water,2/10/86,13:15:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02080500,,,Falling stage,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,8,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99300836,Sample-Routine,Water,Surface Water,4/14/93,14:30:00,EDT,,,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-02084557,SPC RERUN VALUES DUP'ED,,Falling stage,Storm,10,USGS parameter code 82398,Equal width increment (ewi),US DH-81 with Teflon cap and nozzle,,Fecal Coliform,8,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97700061,Sample-Routine,Water,Surface Water,12/7/76,11:15:00,EST,,,,Other:Not valid for new data entry,USGS-02080500,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,8,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98400193,Sample-Routine,Water,Surface Water,11/29/83,10:45:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02086849,,,"Stable, low stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,8,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99306241,Sample-Routine,Water,Surface Water,8/25/93,14:40:00,EDT,0.5,meters,,U.S. Geological Survey-Water Resources Discipline,USGS-0214146100,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,8,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98100306,Sample-Routine,Water,Surface Water,5/14/81,13:30:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02106651,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,8,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98100272,Sample-Routine,Water,Surface Water,4/27/81,10:00:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02105769,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,8,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98100018,Sample-Routine,Water,Surface Water,11/4/80,12:30:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02080500,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,8,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98000041,Sample-Routine,Water,Surface Water,5/14/80,13:00:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02083500,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,80,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98000448,Sample-Routine,Water,Surface Water,3/11/80,9:15:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02106651,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,80,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98400778,Sample-Routine,Water,Surface Water,9/18/84,12:00:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-03453500,,,"Stable, low stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,80,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98700849,Sample-Routine,Water,Surface Water,7/23/87,10:30:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02089500,,,Falling stage,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,80,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98000053,Sample-Routine,Water,Surface Water,2/13/80,9:30:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02084148,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,80,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99300159,Sample-Routine,Water,Surface Water,1/15/93,13:30:00,EST,,,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-02089500,,,Rising stage,Routine sample,10,USGS parameter code 82398,Equal width increment (ewi),US DH-76 TM,,Fecal Coliform,80,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98400776,Sample-Routine,Water,Surface Water,1/16/84,10:30:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-03453500,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,80,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98100049,Sample-Routine,Water,Surface Water,7/29/81,12:00:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02083500,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,80,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98400157,Sample-Routine,Water,Surface Water,7/24/84,15:15:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02086500,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,80,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98500090,Sample-Routine,Water,Surface Water,2/20/85,13:00:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02085220,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,80,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99301053,Sample-Routine,Water,Surface Water,5/18/93,13:00:00,EDT,,,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-02083500,,,"Stable, normal stage",Routine sample,10,USGS parameter code 82398,Equal width increment (ewi),US D-77 TM,,Fecal Coliform,80,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98400548,Sample-Routine,Water,Surface Water,5/16/84,10:40:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0210782005,,,"Stable, low stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,80,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98200148,Sample-Routine,Water,Surface Water,5/4/82,9:45:00,EDT,,,,"USGS-Atlanta Central Laboratory, GA",USGS-02091500,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,80,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98000421,Sample-Routine,Water,Surface Water,6/17/80,13:50:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02105769,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,80,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98600023,Sample-Routine,Water,Surface Water,10/23/85,12:45:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02085220,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,80,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99401694,Sample-Routine,Water,Surface Water,5/24/94,10:00:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0214652600,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,800,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98700276,Sample-Routine,Water,Surface Water,1/22/87,11:40:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0210787855,,,Rising stage,Flood,USGS,USGS,USGS,Unknown,,Fecal Coliform,800,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98300653,Not determined,Water,Surface Water,5/25/83,12:55:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0214632340,,,Not determined,Not Determined (historical),USGS,USGS,USGS,Unknown,,Fecal Coliform,800,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98200375,Sample-Routine,Water,Surface Water,10/14/81,10:45:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02146211,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,800,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99300254,Sample-Routine,Water,Surface Water,2/16/93,9:45:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02141245,,,Rising stage,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,800,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98400627,Quality Control Sample-Reference Sample,Water,Surface Water,12/12/83,12:50:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0210789100,,,Rising stage,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,800,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98700275,Sample-Routine,Water,Surface Water,1/22/87,11:00:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0210782005,,,Rising stage,Flood,USGS,USGS,USGS,Unknown,,Fecal Coliform,800,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98800240,Sample-Routine,Water,Surface Water,2/17/88,10:50:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0210788875,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,800,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98400653,Sample-Routine,Water,Surface Water,9/13/84,13:00:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0210789100,,,Rising stage,Flood,USGS,USGS,USGS,Unknown,,Fecal Coliform,800,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99300252,Sample-Routine,Water,Surface Water,2/16/93,14:45:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0214183365,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,800,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98200365,Not determined,Water,Surface Water,9/20/82,12:30:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0212429910,,,Not determined,Not Determined (historical),USGS,USGS,USGS,Unknown,,Fecal Coliform,800,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99200164,Sample-Routine,Water,Surface Water,10/2/91,12:00:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0212429960,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,800,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99603275,Sample-Routine,Water,Surface Water,10/26/95,9:30:00,EDT,,,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-02143500,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,800,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98300222,Sample-Routine,Water,Surface Water,11/15/82,12:00:00,EST,,,,"USGS-Atlanta Central Laboratory, GA",USGS-02091500,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,8000,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99800481,Sample-Routine,Water,Surface Water,12/15/97,13:15:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0212429960,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,81,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99002371,Sample-Routine,Water,Surface Water,3/20/90,15:45:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0212429912,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,81,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99101488,Sample-Routine,Water,Surface Water,3/27/91,11:15:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0212429930,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,81,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99902267,Sample-Routine,Water,Surface Water,3/17/99,12:45:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0212429960,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,81,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99301173,Sample-Routine,Water,Surface Water,6/8/93,11:30:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0212429940,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,81,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99102067,Sample-Routine,Water,Groundwater,5/16/91,10:25:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-350904080443302,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,81,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97900405,Sample-Routine,Water,Surface Water,9/4/79,13:55:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02084558,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,82,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98500369,Sample-Routine,Water,Surface Water,2/20/85,10:50:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02105769,,,Falling stage,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,820,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99201950,Sample-Routine,Water,Surface Water,7/15/92,14:55:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0212429960,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,820,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99101957,Sample-Routine,Water,Surface Water,4/17/91,13:10:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0212429960,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,820,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99603290,Sample-Routine,Water,Surface Water,6/17/96,13:00:00,EDT,,,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-02143500,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,820,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98100492,Not determined,Water,Surface Water,3/30/81,11:40:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0214620750,,,Not determined,Not Determined (historical),USGS,USGS,USGS,Unknown,,Fecal Coliform,8200,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99501116,Sample-Routine,Water,Surface Water,8/17/95,9:35:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0212429920,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,830,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98000045,Sample-Routine,Water,Surface Water,7/22/80,12:15:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02083500,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,84,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98000437,Sample-Routine,Water,Surface Water,3/27/80,12:30:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02106648,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,84,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97900722,Sample-Routine,Water,Surface Water,7/2/79,12:15:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02105769,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,84,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98600079,Sample-Routine,Water,Surface Water,10/30/85,12:15:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02097517,,,"Stable, low stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,84,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99300129,Sample-Routine,Water,Surface Water,12/17/92,13:00:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02105769,BOTTLES OK,,"Stable, normal stage",Routine sample,10,USGS parameter code 82398,Equal width increment (ewi),US DH-76 TM,,Fecal Coliform,84,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98400073,Sample-Routine,Water,Surface Water,11/14/83,14:30:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02084160,,,"Stable, low stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,84,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99300659,Sample-Routine,Water,Surface Water,3/18/93,13:00:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02105769,,,"Stable, high stage",Routine sample,10,USGS parameter code 82398,Equal width increment (ewi),US DH-76 TM,,Fecal Coliform,840,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98100289,Sample-Routine,Water,Surface Water,8/12/81,11:35:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02106648,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,8400,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99201190,Sample-Routine,Water,Surface Water,3/23/92,13:40:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-03453500,,,"Stable, normal stage",Routine sample,30,USGS parameter code 82398,Single vertical,"Sampler, US DH-76",,Fecal Coliform,850,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97700287,Sample-Routine,Water,Surface Water,7/26/77,12:30:00,EDT,,,,Other:Not valid for new data entry,USGS-02089500,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,8500,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99101489,Sample-Routine,Water,Surface Water,3/27/91,13:45:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0212429960,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,8500,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
